UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;Longitude;Latitude
AC-2000;15228;5.67522507502501;23.3878984690834;2.04649314524141;;20.2067539627843;15.223983459683;48.5464351486451;;;6.54058313632782;8.77348283662831;1.5819115454696;0.64;12.4;24.49;;36.87;30.01;37.3;74.47;1;2000;AC;Acre;-9.49865;-69.629581
AC-2010;16495;5.04602128076245;32.7348235006718;1.35671942797775;0.288310874334065;9.481574016239849;31.0243597751405;48.396483782964495;8.1063761614867;82.6337712271708;7.11730827523492;3.86930352536543;0.838649559171386;0.63;8.33;16.48;9.06;86.51;47.42;28.09;93.63;2;2010;AC;Acre;-9.49865;-69.629581
AL-2000;65763;4.88441347127989;22.288596638271297;1.49758527704566;;20.2743142144638;40.303927680798;48.5305532303478;;;6.435229536365429;7.046697063336;2.89259828684384;0.68;17.65;33.39;;59.91;54.99;18.13;90.96;1;2000;AL;Alagoas;-9.521841;-36.039082
AL-2010;54164;4.961642685393691;52.7581041847736;1.76152011977597;0.613274926197505;3.2044322988806897;43.3777561486916;49.2161099108083;10.5952086935046;88.9849345517412;7.5474484897718;7.73251438914763;1.10743563929239;0.63;11.04;24.33;5.19;77.56;75.64;13.07;96.16;2;2010;AL;Alagoas;-9.521841;-36.039082
AM-2000;67646;6.88847525981076;25.2936639772188;1.4520482928421;;11.6050303049947;20.0385699931935;48.39136904761911;;;7.002631345534099;11.0121253212658;2.68505792263892;0.67;19.73;15.5;;54.76;42.34;29.33;78.42;1;2000;AM;Amazonas;-3.976318;-64.39938199999999
AM-2010;74188;5.63115209120327;37.694767088915;1.41704229533861;0.7120853929364571;6.12423208191126;32.3576791808874;48.7406628374188;6.426735218509001;73.52185089974292;7.369116299131939;4.55174202472551;0.976958258553812;0.65;10.16;9.84;7.36;77.32;62.16;20.98;92.98;2;2010;AM;Amazonas;-3.976318;-64.39938199999999
AP-2000;14238;4.08163265306122;14.376187460418;1.25281531531532;;12.9925222893299;22.5409836065574;48.36642726376571;;;7.177974434611599;8.8906429391504;2.33244546828882;0.62;19.57;12.1;;60.91;46.54;28.98;78.85;1;2000;AP;Amapá;2.406605;-51.428199
AP-2010;15008;5.418315818206629;29.8572191086202;1.41408751334045;0.399026105775734;4.994585814834871;33.1145100162426;49.32702558635391;9.24812030075188;90.0751879699248;8.022388059701491;6.8963178951651205;1.3965154904752202;0.6;12.25;8.4;4.77;91.44;66.38;21.51;96.38;2;2010;AP;Amapá;2.406605;-51.428199
BA-2000;239530;7.55105416180644;21.425251022685;1.79572470620019;;11.883863804249598;32.7651628118247;48.6015365884378;;;7.01498768421492;11.8126436002784;3.3695366887053;0.66;18.56;23.15;;60.65;55.47;13.22;85.05;1;2000;BA;Bahia;-12.197327;-40.191427
BA-2010;212201;5.9299447934513605;38.5893646702764;1.87460118639662;0.8045134743196221;2.99921489027613;42.0708705143426;48.7521151589138;8.63678804855275;90.8496732026144;8.17291153199089;8.0062108532028;1.65869252265221;0.62;11.25;16.58;4.22;85.66;77.6;9.35;95.35;3;2010;BA;Bahia;-12.197327;-40.191427
CE-2000;143393;5.36301345546207;27.2758475763519;1.69248120827466;;3.54009709157435;29.0050274420548;48.604836566569205;;;5.951476013473459;10.0160206557581;4.72301226811563;0.67;13.43;26.54;;59.3;49.83;15.33;81.79;1;2000;CE;Ceará;-4.354732;-39.712723
CE-2010;128831;6.39627061691001;49.051465210016005;1.72869651772244;0.8350363496264531;1.76133517034068;56.447269539078206;48.6241595105362;14.5679179960627;85.19448781481229;7.672842716426951;6.60910775872182;1.3255213848169;0.61;8.07;18.74;4.62;86.08;76.28;10.99;93.56;5;2010;CE;Ceará;-4.354732;-39.712723
DF-2000;47991;6.78080887176991;39.6558915537018;1.8327391005191696;;3.49092316957756;42.2782414178783;48.7466633299967;;;8.25571461315663;9.6827267269938;3.28633285222605;0.63;17.42;5.68;;92.36;92.65;3.14;98.28;3;2000;DF;Distrito Federal;-15.858437;-47.596956
DF-2010;44251;7.78136964944861;52.0006333265477;2.16358122482234;0.85498528094202;1.91460055096419;69.7382920110193;48.547858515086496;35.6561726211532;63.03501945525289;9.265327337235322;6.40277271068953;1.17604157170207;0.63;8.58;3.47;1.35;98.13;96.01;0.72;98.87;0;2010;DF;Distrito Federal;-15.858437;-47.596956
ES-2000;58380;5.478974609204821;43.6195054945055;1.97931495806391;;3.2955196914684803;53.551760679603206;48.8374485596708;;;7.4049331963001;7.15396280016124;2.07267833109018;0.6;13.46;11.67;;92.67;90.2;3.54;91.86;3;2000;ES;Espírito Santo;-19.768337;-40.3565
ES-2010;51853;6.400093035876959;60.823847192745504;1.97376037044183;0.518947388803904;0.9383378016085792;66.10747516164639;48.5255260467897;26.072607260726105;73.5973597359736;7.86261161359998;4.729074207864589;1.69012340583598;0.56;7.56;8.12;0.99;96.45;96.89;0.99;97.93;5;2010;ES;Espírito Santo;-19.768337;-40.3565
GO-2000;94746;5.90625267299632;44.9773717379351;1.83752008796414;;2.9609586393506;53.33259705119001;48.5634005154857;;;6.74962531399742;9.42666505976576;2.7880552575694595;0.6;13.04;11.93;;87.24;86.07;6.7;91.08;3;2000;GO;Goiás;-16.8529;-51.105
GO-2010;87476;6.263357462943809;61.6395394089234;1.93617825205812;0.777162977867203;1.9692865695586;69.0459306448425;49.0104160711631;12.2287968441815;86.4891518737673;8.08336000731629;6.46186440677966;1.22226314335697;0.55;6.61;7.94;1.12;96.76;93.66;3.38;98.65;5;2010;GO;Goiás;-16.8529;-51.105
MA-2000;100811;8.600375081539461;23.9893234165067;1.94351412146963;;7.745760550809639;20.981554677206898;48.5325597679304;;;6.75025542847507;19.7508150156548;11.667717045086802;0.65;11.94;28.39;;33.09;26.45;26.0;53.4;4;2000;MA;Maranhão;-4.042;-45.107216
MA-2010;119566;4.86606315008682;34.4195946002564;1.5738204722298998;0.347521644648339;2.53145343542348;26.3643876277532;48.663298424064;11.5352697095436;83.1535269709544;7.18515296990783;8.10688542389239;2.13667898462437;0.62;8.99;20.87;24.92;82.12;51.79;23.99;79.08;2;2010;MA;Maranhão;-4.042;-45.107216
MG-2000;300958;7.24371737427117;40.69336609008551;1.97283559703358;;2.2710730863248103;45.8681232662254;48.8090242391543;;;8.737764073392299;7.26316374344823;2.06952370603246;0.61;14.27;11.96;;89.36;87.21;4.33;92.01;3;2000;MG;Minas Gerais;-18.824095;-44.0345
MG-2010;255126;7.60392237105127;54.1566548881037;2.0625353173855703;0.725585424979799;0.95429868719771;69.63893001678021;48.850173669643496;26.6666666666667;73.3333333333333;9.47884574680746;6.44308479436877;1.1466908904268602;0.56;7.11;8.31;0.97;94.44;94.91;1.84;97.85;0;2010;MG;Minas Gerais;-18.824095;-44.0345
MS-2000;40490;5.89988821264439;42.939995538701794;1.6892560348239;;2.98790974664374;61.234181276792405;49.0044958253051;;;7.02395653247715;7.10936899546538;1.7554650060224;0.62;13.76;11.19;;88.74;85.61;9.32;93.76;3;2000;MS;Mato Grosso do Sul;-20.616023;-55.095124
MS-2010;40132;6.43482196741098;55.8130841121495;1.85665154762498;0.659600714987035;1.5336187358348;65.6408964996223;49.0355861244019;28.5714285714286;71.4285714285714;7.69460779427888;5.29979271694347;1.09235098490663;0.56;6.44;7.67;2.75;96.22;93.76;3.93;98.64;5;2010;MS;Mato Grosso do Sul;-20.616023;-55.095124
MT-2000;49478;5.82003079167004;44.912032355915095;1.63559904573208;;2.58941839871343;52.3359729658205;48.4865028814073;;;6.35433930231618;9.8032044981829;3.07359799795245;0.62;12.44;12.36;;74.09;70.92;15.82;87.61;2;2000;MT;Mato Grosso;-13.434091;-55.501919
MT-2010;48929;7.3100497758032;56.1385571732374;1.77092492996053;0.6717044500419821;0.8601223467586321;65.9297121977255;48.7786930482595;28.9340101522843;69.07534587439041;7.19205379222956;5.16883490556343;1.20013974229876;0.55;6.57;8.48;3.74;95.17;90.37;5.16;97.11;5;2010;MT;Mato Grosso;-13.434091;-55.501919
