UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;UF;Longitude;Latitude
AC-2000;-0.7605874127536454;-0.5725953947200753;-1.3864576699188849;1.2108116136877718;-0.4638979236344956;3.449953630710858;-1.9134062828810268;-0.8358366550544489;-4.372050822399026;3.084518400422942;-0.8636798340419083;0.3025117974090191;-0.3076234904849294;0.7883857464484874;0.20911226867772387;1.2403773413605435;3.2069890831384384;-2.5287712453780613;-2.164663408263667;2.477829578953461;-1.7101346415789807;1;2000;AC;Acre;AC;-9.49865;-69.629581
AC-2010;-0.7506684792226027;-1.0447094060523332;-0.6635617278438516;-1.8122932773576264;-2.018719940461993;1.0847252350617242;-0.9555075947172882;-1.5239370115372368;-0.803367925153263;0.5957056582458143;-0.3022746547527417;-1.4926825721567107;-0.7005569189060613;0.5349760422329026;-0.7904243648583816;0.23679931062337675;0.754027631936455;0.3488859881198257;-1.293877913329838;1.566724886520804;0.3050514653015856;2;2010;AC;Acre;AC;-9.49865;-69.629581
AL-2000;-0.3649652296508525;-1.1659694999887547;-1.4714782333580971;-1.1949136546781451;-1.4496427918770725;3.464852721121088;-0.39293327711324055;-0.9087159755754908;-4.884147285270998;3.4492411667460443;-0.9662348514766046;-0.32958501245707367;0.385285126353261;1.8020245633108263;1.4984408500203656;2.3554640421796185;4.027117081911859;-1.193130176486214;-0.9152537779680294;0.5814260008933055;0.024229601764470966;1;2000;AL;Alagoas;AL;-9.521841;-36.039082
AL-2010;-0.45577005208697186;-1.1080216706848363;0.8850489975710253;-0.038153554944877176;-0.3641662462194497;-0.29957543937079845;-0.206582256210333;2.237182656777109;-0.6972036863914429;0.8242628114021276;0.11643943965828178;-0.07853884882676752;-0.5584602720698164;0.5349760422329026;-0.12488523048913229;1.2203308388739085;0.021453505845890758;-0.16995027779085303;0.11758484755658685;0.08086251080543994;0.5711485869303871;2;2010;AL;Alagoas;AL;-9.521841;-36.039082
AM-2000;-0.35022383119864;0.3377494199677129;-1.2390647949657063;-1.3944908148740285;-1.7772288090600343;1.5530119338504833;-1.6215217079555104;-1.5474076294839076;-4.65225712347051;2.9853772853183145;-0.4139053396939635;1.1219757951185518;0.2755666847456608;1.5486148590952415;2.0092605546284985;0.11401448289273705;4.1002985701010495;-1.4916784188817438;-1.5479612168487265;1.6893926192696092;-1.2946865663087175;1;2000;AM;Amazonas;AM;-3.976318;-64.39938199999999
AM-2010;-0.2990086274416701;-0.605664923818911;-0.2799571647661942;-1.5479133063666584;0.1389270092815175;0.3443292215164185;-0.8746750319878331;0.05543993504126189;-0.8750150929760961;0.2677980823585379;-0.05715558629970451;-1.2428732414064;-0.6274385401504452;1.041795450664072;-0.3410012593618035;-0.5951305425719776;0.4322250442480934;-0.1838632055918103;-0.5566362019384171;0.8633639350337043;0.236686592155847;2;2010;AM;Amazonas;AM;-3.976318;-64.39938199999999
AP-2000;-0.7683378028055255;-1.7683245330730815;-2.0834279887457656;-2.267678896333678;-2.342764027751782;1.858996118399529;-1.4698127442177722;-1.6618610743254953;-3.8221749003032306;2.62830306574954;-0.2432200136698332;0.3453987195699545;0.08915432524664584;0.2815663380173179;1.9699667311971039;-0.31197369494825766;2.0025075647028223;-1.1351596439822274;-1.3378923438606691;1.6547686624453495;-1.2494605733046136;1;2000;AP;Amapá;AP;2.406605;-51.428199
AP-2010;-0.7623097216540632;-0.7653635580574729;-0.8861171170099386;-1.5608633734495936;-1.4550136038986137;0.09520786026699996;-0.828792120728348;2.74615511952228;-0.7546654126914941;0.8634973901311884;0.5787628523556566;-0.3846319059057604;-0.4056351052958958;-0.2252530704138515;0.17227430921079115;-0.775549064951693;-0.058050662877116355;0.6346807133644784;-0.3455670009837499;0.915794498224726;0.5942874670720218;2;2010;AP;Amapá;AP;2.406605;-51.428199
BA-2000;0.9954004553441612;0.8349059630428011;-1.5382498229457315;0.11175655314890387;-0.32994808612724824;1.614503201445334;-0.8499713143212368;-0.5829858711221043;-4.595915066659861;2.6131508596717294;-0.40187723121648344;1.4150086995063407;0.6374237327179996;1.2952051548796568;1.7219244707864236;1.0724878830349749;2.5326146360023216;-1.1502319824332639;-0.8912459067693944;0.0957013494444083;-0.5973648602221753;1;2000;BA;Bahia;BA;-12.197327;-40.191427000000004
BA-2010;0.7814505465281678;-0.38147012000263525;-0.21076853222974679;0.45745234743955127;0.6095243649808204;-0.3448321198677464;-0.2858122700865366;0.10799261748931485;-0.7807425481959264;0.8913685266299672;0.7252878627063323;0.02164883193635007;-0.2670324026073599;0.2815663380173179;-0.0733120872354264;0.2493283746775234;-0.16216326477629212;0.2996110354914367;0.21561698828434675;-0.28714068744097526;0.4859554373180038;3;2010;BA;Bahia;BA;-12.197327;-40.191427000000004
CE-2000;0.2427749518920349;-0.8068588900144031;-1.0857617059371323;-0.34073375742058576;-0.805008939163349;-0.22555114299015636;-1.0779297291152563;-0.5678428537957444;-4.385674313039505;2.692417467152672;-1.4371380858415614;0.7573477149603042;1.3529531281478877;1.5486148590952415;0.4620662570173278;1.497223154470555;3.643095557406961;-1.2284922013136454;-1.1733383933533574;0.3044343462992298;-0.9402409932300368;1;2000;CE;Ceará;CE;-4.354732;-39.712723
CE-2010;0.1287737600380155;-0.03156924987372568;0.5983756515739332;-0.1820111555264092;0.7649315117351458;-0.6178222495049516;0.5857577160561603;-0.4791732736846595;-0.5277428434049013;0.687857294631433;0.23850273038038253;-0.48976632026966865;-0.44316690141660214;0.028156633801733198;-0.8542768279343982;0.5199561582470965;-0.08644500884961874;0.3239586591431111;0.14959534248810044;-0.1249027183215879;0.29768909434742974;5;2010;CE;Ceará;CE;-4.354732;-39.712723
DF-2000;-0.5040964740973318;0.2569634952687114;-0.1282827999128015;0.27398134325643697;0.14878768115908864;-0.23639548846612357;-0.2732403975884213;0.08297513662603856;-2.1597550727282275;1.5258762226632983;0.8058913867969238;0.6353441448718291;0.5934371313200028;0.5349760422329026;1.4419559788377363;-1.1163396072244889;-2.554116507345886;0.688013603268146;0.9683637831582204;-0.9014686070942649;0.7941232501134147;3;2000;DF;Distrito Federal;DF;-15.858437;-47.596956
